NAME
Carl Edwards Jr.
Conner Menez
Scott Alexander
Zac Grotz
Montana DuRapau
James Marvel
Mike Dunn
Tyler Rogers
Pat Neshek
Zac Rosscup
Joe Harvey
Rogelio Armenteros
Seunghwan Oh
Brent Suter
Kyle Zimmer
Jimmie Sherfy
Tyler Thornburg
Jacob Faria
Sam Howard
Mike Mayers
J.D. Hammer
Chandler Shepherd
Josh Staumont
Corbin Martin
Paul Sewald
Travis Bergen
Jose Rodriguez
Ryan Burr
Ronald Bolanos
Kyle Wright
Richard Lovelady
Buddy Boshers
Bryse Wilson
Michael Shawaryn
Genesis Cabrera
Craig Kimbrel
Matthew Koch
Austin Davis
Tyler Anderson
Tony Sipp
Peter Fairbanks
Dillon Tate
Reggie McClain
Eric Skoglund
Cy Sneed
JT Chargois
Burch Smith
Jason Adam
Dan Winkler
Ryan Tepera
Parker Markel
Tyler Bashlor
Jimmy Nelson
Pedro Payano
Matt Festa
Kyle Dowdy
Heath Fillmyer
Tanner Anderson
T.J. Zeuch
Walker Lockett
Cody Allen
Andres Munoz
Sam Tuivailala
Zach Duke
Matt Hall
Emmanuel Clase
Travis Lakins
Connor Sadzeck
Drew Gagnon
Marco Estrada
Hunter Strickland
Jandel Gustave
Kevin Ginkel
Yefry Ramirez
Seranthony Dominguez
Stephen Tarpley
Joe Smith
DJ Johnson
Neil Ramirez
Cody Stashak
Chance Adams
Kohl Stewart
Brock Stewart
A.J. Cole
Gerardo Reyes
Taylor Guerrieri
Tanner Scott
Jake Jewell
David McKay
Brad Boxberger
Alex McRae
Brock Burke
Ty Blach
Carson Fulmer
Juan Minaya
Sam Coonrod
Lewis Thorpe
Hector Noesi
Logan Allen
Jesse Biddle
Evan Phillips
Zac Reininger
Randy Dobnak
Adam Warren
Jordan Hicks
Matt Shoemaker
Rafael Montero
Daniel Stumpf
Chad Sobotka
Mike Wright
A.J. Minter
Brian Flynn
Dan Otero
Adam Morgan
Keone Kela
Jose Quijada
Michel Baez
Sean Manaea
Jose Alvarado
Jay Jackson
Stefan Crichton
Darwinzon Hernandez
Tyler Olson
Jake Newberry
Wei-Chung Wang
Josh Smith
Adalberto Mejia
Jonathan Loaisiga
Sean Reid-Foley
Luis Avilan
Matt Bowman
Austin Adams
Jerry Blevins
Jacob Webb
Jeffrey Springs
J.B. Wendelken
Jacob Barnes
Andrew Suarez
Rowan Wick
Tim Melville
Kyle Barraclough
Elvis Luciano
Hector Santiago
Yency Almonte
David Phelps
Robert Dugger
Wes Parsons
Brad Wieck
Dustin May
Carlos Rodon
Geoff Hartlieb
Jose Cisnero
Tyson Ross
Greg Holland
Corey Kluber
Alex Wood
Jesus Tinoco
Tom Eshelman
Alec Mills
Justus Sheffield
Phil Maton
Ryan Helsley
Jon Duplantier
Zack Littell
Jimmy Cordero
Jameson Taillon
David Hale
Jeff Brigham
Justin Wilson
Edgar Garcia
Jeremy Hellickson
Patrick Sandoval
Heath Hembree
Wandy Peralta
Justin Shafer
Tim Hill
Logan Webb
Jose Ruiz
Tony Gonsolin
Wily Peralta
Brian Johnson
Oliver Perez
Nick Goody
Dominic Leone
Ryan Weber
Ryan Carpenter
Branden Kline
Jimmy Yacabonis
Jose Urquidy
Jake McGee
Jonathan Holder
Pedro Strop
Touki Toussaint
Cole Irvin
Wade Davis
David Hernandez
Victor Alcantara
Lucas Sims
Austin Voth
Shelby Miller
Blaine Hardy
Austin Brice
Nick Vincent
Caleb Ferguson
Ryan Buchter
Hunter Wood
Clayton Richard
Kolby Allard
Tayron Guerrero
Casey Sadler
Dylan Floro
Matt Grace
Jefry Rodriguez
Justin Anderson
Austin Pruitt
Shawn Kelley
Juan Nicasio
Brandon Brennan
Josh Taylor
Fernando Rodney
Dan Straily
Anthony Bass
Mitch Keller
Carlos Martinez
Tanner Rainey
Ranger Suarez
Daniel Ponce de Leon
Kyle Crick
Luke Bard
Corbin Burnes
Devin Smeltzer
Brendan McKay
Tyler Kinley
Andrew Kittredge
Roenis Elias
Clay Holmes
Matt Magill
Evan Marshall
Jarlin Garcia
Mike Morin
Manny Banuelos
Chaz Roe
Trey Wingenter
Kelvin Herrera
Joe Kelly
Tim Mayza
Matt Wisler
Colin Poche
Taylor Cole
Jeremy Jeffress
Andrew Chafin
Trevor Gott
Yoshihisa Hirano
Ken Giles
Anthony Swarzak
Tyler Alexander
Tony Watson
Ryan Pressly
Ryne Harper
Brad Brach
Andrew Miller
Colten Brewer
Adam Kolarek
Jace Fry
Tyler Webb
Cory Gearrin
Richard Bleier
Robbie Erlin
Chris Martin
Ryan Brasier
Nick Kingham
Oliver Drake
T.J. McFarland
Amir Garrett
Scott Oberg
Michael Feliz
Hector Velazquez
Reyes Moronta
Adam Cimber
Brandon Kintzler
Aroldis Chapman
Nick Margevicius
Brad Hand
Paul Fry
Jairo Diaz
Tyler Duffey
Nick Wittgren
Gregory Soto
Aaron Civale
Shawn Armstrong
Edwin Diaz
Drew VerHagen
Erik Swanson
Jerad Eickhoff
Blake Treinen
Dylan Covey
Rich Hill
Jose Alvarez
Clay Buchholz
Matt Albers
Joe Jimenez
Daniel Mengden
Matt Harvey
Will Harris
Sean Doolittle
Jeurys Familia
Felipe Vazquez
Lou Trivino
Kevin McCarthy
Sergio Romo
Kirby Yates
Adam Conley
Yoan Lopez
Hector Rondon
Derek Law
Tyler Glasnow
Alex Colome
Kyle Ryan
Zack Britton
Tommy Kahnle
Josh James
Blake Parker
Cam Bedrosian
Jake Diekman
Alex Claudio
Luis Garcia
Tyler Clippard
Yimi Garcia
Sam Dyson
Brett Martin
Shane Greene
Kenley Jansen
Mychal Givens
Chi Chi Gonzalez
Ian Kennedy
Robert Gsellman
Chad Bettis
Steve Cishek
Joe Ross
Trevor May
Matt Barnes
Luke Weaver
Robert Stephenson
Joe Biagini
Roberto Osuna
Nick Anderson
Will Smith
Richard Rodriguez
Adam Ottavino
John Gant
Nestor Cortes Jr.
Raisel Iglesias
Mark Melancon
Javy Guerra
Hector Neris
Josh Osich
Aaron Bummer
Buck Farmer
Noe Ramirez
Nathan Eovaldi
Edwin Jackson
Wei-Yin Chen
Sean Newcomb
Jose Leclerc
Diego Castillo
Taylor Rogers
Joakim Soria
Chris Devenski
Chad Green
Pedro Baez
Ross Detwiler
Francisco Liriano
Emilio Pagan
Jeff Hoffman
Scott Barlow
Matt Andriese
Framber Valdez
Jared Hughes
Wander Suero
Brandon Workman
Archie Bradley
Felix Hernandez
Bryan Shaw
Carlos Estevez
Luis Perdomo
Dillon Peters
Ty Buttrey
Luke Jackson
John Brebbia
Hansel Robles
Daniel Hudson
Thomas Pannone
Dinelson Lamet
Dylan Cease
Miguel Castro
Dario Agrazal
Giovanny Gallegos
Collin McHugh
Josh Hader
Chris Stratton
Tyler Chatwood
Ryne Stanek
Marcus Walden
Jesse Chavez
Erick Fedde
Jacob Waguespack
Jordan Yamamoto
Josh Tomlin
Nick Ramirez
Julio Urias
Tyler Skaggs
Seth Lugo
Carlos Carrasco
David Hess
Zac Gallen
Luis Cessa
Jose Suarez
Craig Stammen
Elieser Hernandez
Asher Wojciechowski
Jaime Barria
Yusmeiro Petit
Michael Lorenzen
Alex Young
Junior Guerra
Wilmer Font
Derek Holland
Taylor Clarke
Jose Urena
Liam Hendriks
Freddy Peralta
Gio Gonzalez
Peter Lambert
Griffin Canning
Ross Stripling
Mike Montgomery
Brad Peacock
Zack Godley
Nick Pivetta
Andrew Heaney
Sam Gaviglio
Shaun Anderson
Frankie Montas
Felix Pena
Dereck Rodriguez
Trevor Cahill
Kevin Gausman
Cal Quantrill
Jhoulys Chacin
Drew Pomeranz
Jalen Beeks
Kyle Freeland
Blake Snell
CC Sabathia
David Price
Adam Plutko
Aaron Brooks
Gabriel Ynoa
Adrian Houser
Pablo Lopez
Tommy Milone
Jordan Zimmermann
Dallas Keuchel
Steven Brault
Drew Smyly
Matt Strahm
Zach Plesac
Tyler Beede
Mike Foltynewicz
Vince Velasquez
Chris Archer
Wade LeBlanc
Brandon Woodruff
Ariel Jurado
Jorge Lopez
Antonio Senzatela
Adrian Sampson
Mike Clevinger
Michael Wacha
Tyler Mahle
Danny Duffy
Aaron Sanchez
Yonny Chirinos
Trevor Richards
Jake Arrieta
Glenn Sparkman
Chase Anderson
Chris Paddack
Jordan Lyles
Ryan Yarbrough
Cole Hamels
Domingo German
Chris Bassitt
Daniel Norris
Trevor Williams
Michael Pineda
Chris Sale
Spencer Turnbull
Eric Lauer
Jason Vargas
Andrew Cashner
Jon Gray
James Paxton
Caleb Smith
Kenta Maeda
Trent Thornton
John Means
Jake Odorizzi
Zach Davies
Kyle Gibson
Steven Matz
J.A. Happ
Dylan Bundy
Yusei Kikuchi
Zach Eflin
Homer Bailey
Joey Lucchesi
Martin Perez
Tanner Roark
Brad Keller
Max Fried
Anibal Sanchez
Anthony DeSclafani
Wade Miley
Joe Musgrove
Jose Quintana
Adam Wainwright
Jon Lester
Max Scherzer
German Marquez
Rick Porcello
Robbie Ray
Dakota Hudson
Julio Teheran
Mike Soroka
Sonny Gray
Jakob Junis
Brett Anderson
Lucas Giolito
Kyle Hendricks
Clayton Kershaw
Yu Darvish
Jeff Samardzija
Masahiro Tanaka
Walker Buehler
Hyun-jin Ryu
Merrill Kelly
Miles Mikolas
Reynaldo Lopez
Marcus Stroman
Mike Fiers
Matthew Boyd
Ivan Nova
Luis Castillo
Charlie Morton
Zack Wheeler
Jack Flaherty
Mike Leake
Sandy Alcantara
Noah Syndergaard
Jose Berrios
Patrick Corbin
Aaron Nola
Marco Gonzales
Eduardo Rodriguez
Jacob deGrom
Madison Bumgarner
Lance Lynn
Mike Minor
Zack Greinke
Stephen Strasburg
Gerrit Cole
Trevor Bauer
Shane Bieber
Justin Verlander
